Id,Category
0,mouth
1,mouth
2,mouth
3,mouth
4,mouth
5,mouth
6,mouth
7,mouth
8,mouth
9,mouth
10,mouth
11,mouth
12,mouth
13,mouth
14,mouth
15,mouth
16,mouth
17,mouth
18,mouth
19,mouth
20,mouth
21,mouth
22,mouth
23,mouth
24,mouth
25,mouth
26,mouth
27,mouth
28,mouth
29,mouth
30,mouth
31,mouth
32,mouth
33,mouth
34,mouth
35,mouth
36,mouth
37,mouth
38,mouth
39,mouth
40,mouth
41,mouth
42,mouth
43,mouth
44,mouth
45,mouth
46,mouth
47,mouth
48,mouth
49,mouth
50,mouth
51,mouth
52,mouth
53,mouth
54,mouth
55,mouth
56,mouth
57,mouth
58,mouth
59,mouth
60,mouth
61,mouth
62,mouth
63,mouth
64,mouth
65,mouth
66,mouth
67,mouth
68,mouth
69,mouth
70,mouth
71,mouth
72,mouth
73,mouth
74,mouth
75,mouth
76,mouth
77,mouth
78,mouth
79,mouth
80,mouth
81,mouth
82,mouth
83,mouth
84,mouth
85,mouth
86,mouth
87,mouth
88,mouth
89,mouth
90,mouth
91,mouth
92,mouth
93,mouth
94,mouth
95,mouth
96,mouth
97,mouth
98,mouth
99,mouth
100,mouth
101,mouth
102,mouth
103,mouth
104,mouth
105,mouth
106,mouth
107,mouth
108,mouth
109,mouth
110,mouth
111,mouth
112,mouth
113,mouth
114,mouth
115,mouth
116,mouth
117,mouth
118,mouth
119,mouth
120,mouth
121,mouth
122,mouth
123,mouth
124,mouth
125,mouth
126,mouth
127,mouth
128,mouth
129,mouth
130,mouth
131,mouth
132,mouth
133,mouth
134,mouth
135,mouth
136,mouth
137,mouth
138,mouth
139,mouth
140,mouth
141,mouth
142,mouth
143,mouth
144,mouth
145,mouth
146,mouth
147,mouth
148,mouth
149,mouth
150,mouth
151,mouth
152,mouth
153,mouth
154,mouth
155,mouth
156,mouth
157,mouth
158,mouth
159,mouth
160,mouth
161,mouth
162,mouth
163,mouth
164,mouth
165,mouth
166,mouth
167,mouth
168,mouth
169,mouth
170,mouth
171,mouth
172,mouth
173,mouth
174,mouth
175,mouth
176,mouth
177,mouth
178,mouth
179,mouth
180,mouth
181,mouth
182,mouth
183,mouth
184,mouth
185,mouth
186,mouth
187,mouth
188,mouth
189,mouth
190,mouth
191,mouth
192,mouth
193,mouth
194,mouth
195,mouth
196,mouth
197,mouth
198,mouth
199,mouth
200,mouth
201,mouth
202,mouth
203,mouth
204,mouth
205,mouth
206,mouth
207,mouth
208,mouth
209,mouth
210,mouth
211,mouth
212,mouth
213,mouth
214,mouth
215,mouth
216,mouth
217,mouth
218,mouth
219,mouth
220,mouth
221,mouth
222,mouth
223,mouth
224,mouth
225,mouth
226,mouth
227,mouth
228,mouth
229,mouth
230,mouth
231,mouth
232,mouth
233,mouth
234,mouth
235,mouth
236,mouth
237,mouth
238,mouth
239,mouth
240,mouth
241,mouth
242,mouth
243,mouth
244,mouth
245,mouth
246,mouth
247,mouth
248,mouth
249,mouth
250,mouth
251,mouth
252,mouth
253,mouth
254,mouth
255,mouth
256,mouth
257,mouth
258,mouth
259,mouth
260,mouth
261,mouth
262,mouth
263,mouth
264,mouth
265,mouth
266,mouth
267,mouth
268,mouth
269,mouth
270,mouth
271,mouth
272,mouth
273,mouth
274,mouth
275,mouth
276,mouth
277,mouth
278,mouth
279,mouth
280,mouth
281,mouth
282,mouth
283,mouth
284,mouth
285,mouth
286,mouth
287,mouth
288,mouth
289,mouth
290,mouth
291,mouth
292,mouth
293,mouth
294,mouth
295,mouth
296,mouth
297,mouth
298,mouth
299,mouth
300,mouth
301,mouth
302,mouth
303,mouth
304,mouth
305,mouth
306,mouth
307,mouth
308,mouth
309,mouth
310,mouth
311,mouth
312,mouth
313,mouth
314,mouth
315,mouth
316,mouth
317,mouth
318,mouth
319,mouth
320,mouth
321,mouth
322,mouth
323,mouth
324,mouth
325,mouth
326,mouth
327,mouth
328,mouth
329,mouth
330,mouth
331,mouth
332,mouth
333,mouth
334,mouth
335,mouth
336,mouth
337,mouth
338,mouth
339,mouth
340,mouth
341,mouth
342,mouth
343,mouth
344,mouth
345,mouth
346,mouth
347,mouth
348,mouth
349,mouth
350,mouth
351,mouth
352,mouth
353,mouth
354,mouth
355,mouth
356,mouth
357,mouth
358,mouth
359,mouth
360,mouth
361,mouth
362,mouth
363,mouth
364,mouth
365,mouth
366,mouth
367,mouth
368,mouth
369,mouth
370,mouth
371,mouth
372,mouth
373,mouth
374,mouth
375,mouth
376,mouth
377,mouth
378,mouth
379,mouth
380,mouth
381,mouth
382,mouth
383,mouth
384,mouth
385,mouth
386,mouth
387,mouth
388,mouth
389,mouth
390,mouth
391,mouth
392,mouth
393,mouth
394,mouth
395,mouth
396,mouth
397,mouth
398,mouth
399,mouth
400,mouth
401,mouth
402,mouth
403,mouth
404,mouth
405,mouth
406,mouth
407,mouth
408,mouth
409,mouth
410,mouth
411,mouth
412,mouth
413,mouth
414,mouth
415,mouth
416,mouth
417,mouth
418,mouth
419,mouth
420,mouth
421,mouth
422,mouth
423,mouth
424,mouth
425,mouth
426,mouth
427,mouth
428,mouth
429,mouth
430,mouth
431,mouth
432,mouth
433,mouth
434,mouth
435,mouth
436,mouth
437,mouth
438,mouth
439,mouth
440,mouth
441,mouth
442,mouth
443,mouth
444,mouth
445,mouth
446,mouth
447,mouth
448,mouth
449,mouth
450,mouth
451,mouth
452,mouth
453,mouth
454,mouth
455,mouth
456,mouth
457,mouth
458,mouth
459,mouth
460,mouth
461,mouth
462,mouth
463,mouth
464,mouth
465,mouth
466,mouth
467,mouth
468,mouth
469,mouth
470,mouth
471,mouth
472,mouth
473,mouth
474,mouth
475,mouth
476,mouth
477,mouth
478,mouth
479,mouth
480,mouth
481,mouth
482,mouth
483,mouth
484,mouth
485,mouth
486,mouth
487,mouth
488,mouth
489,mouth
490,mouth
491,mouth
492,mouth
493,mouth
494,mouth
495,mouth
496,mouth
497,mouth
498,mouth
499,mouth
500,mouth
501,mouth
502,mouth
503,mouth
504,mouth
505,mouth
506,mouth
507,mouth
508,mouth
509,mouth
510,mouth
511,mouth
512,mouth
513,mouth
514,mouth
515,mouth
516,mouth
517,mouth
518,mouth
519,mouth
520,mouth
521,mouth
522,mouth
523,mouth
524,mouth
525,mouth
526,mouth
527,mouth
528,mouth
529,mouth
530,mouth
531,mouth
532,mouth
533,mouth
534,mouth
535,mouth
536,mouth
537,mouth
538,mouth
539,mouth
540,mouth
541,mouth
542,mouth
543,mouth
544,mouth
545,mouth
546,mouth
547,mouth
548,mouth
549,mouth
550,mouth
551,mouth
552,mouth
553,mouth
554,mouth
555,mouth
556,mouth
557,mouth
558,mouth
559,mouth
560,mouth
561,mouth
562,mouth
563,mouth
564,mouth
565,mouth
566,mouth
567,mouth
568,mouth
569,mouth
570,mouth
571,mouth
572,mouth
573,mouth
574,mouth
575,mouth
576,mouth
577,mouth
578,mouth
579,mouth
580,mouth
581,mouth
582,mouth
583,mouth
584,mouth
585,mouth
586,mouth
587,mouth
588,mouth
589,mouth
590,mouth
591,mouth
592,mouth
593,mouth
594,mouth
595,mouth
596,mouth
597,mouth
598,mouth
599,mouth
600,mouth
601,mouth
602,mouth
603,mouth
604,mouth
605,mouth
606,mouth
607,mouth
608,mouth
609,mouth
610,mouth
611,mouth
612,mouth
613,mouth
614,mouth
615,mouth
616,mouth
617,mouth
618,mouth
619,mouth
620,mouth
621,mouth
622,mouth
623,mouth
624,mouth
625,mouth
626,mouth
627,mouth
628,mouth
629,mouth
630,mouth
631,mouth
632,mouth
633,mouth
634,mouth
635,mouth
636,mouth
637,mouth
638,mouth
639,mouth
640,mouth
641,mouth
642,mouth
643,mouth
644,mouth
645,mouth
646,mouth
647,mouth
648,mouth
649,mouth
650,mouth
651,mouth
652,mouth
653,mouth
654,mouth
655,mouth
656,mouth
657,mouth
658,mouth
659,mouth
660,mouth
661,mouth
662,mouth
663,mouth
664,mouth
665,mouth
666,mouth
667,mouth
668,mouth
669,mouth
670,mouth
671,mouth
672,mouth
673,mouth
674,mouth
675,mouth
676,mouth
677,mouth
678,mouth
679,mouth
680,mouth
681,mouth
682,mouth
683,mouth
684,mouth
685,mouth
686,mouth
687,mouth
688,mouth
689,mouth
690,mouth
691,mouth
692,mouth
693,mouth
694,mouth
695,mouth
696,mouth
697,mouth
698,mouth
699,mouth
700,mouth
701,mouth
702,mouth
703,mouth
704,mouth
705,mouth
706,mouth
707,mouth
708,mouth
709,mouth
710,mouth
711,mouth
712,mouth
713,mouth
714,mouth
715,mouth
716,mouth
717,mouth
718,mouth
719,mouth
720,mouth
721,mouth
722,mouth
723,mouth
724,mouth
725,mouth
726,mouth
727,mouth
728,mouth
729,mouth
730,mouth
731,mouth
732,mouth
733,mouth
734,mouth
735,mouth
736,mouth
737,mouth
738,mouth
739,mouth
740,mouth
741,mouth
742,mouth
743,mouth
744,mouth
745,mouth
746,mouth
747,mouth
748,mouth
749,mouth
750,mouth
751,mouth
752,mouth
753,mouth
754,mouth
755,mouth
756,mouth
757,mouth
758,mouth
759,mouth
760,mouth
761,mouth
762,mouth
763,mouth
764,mouth
765,mouth
766,mouth
767,mouth
768,mouth
769,mouth
770,mouth
771,mouth
772,mouth
773,mouth
774,mouth
775,mouth
776,mouth
777,mouth
778,mouth
779,mouth
780,mouth
781,mouth
782,mouth
783,mouth
784,mouth
785,mouth
786,mouth
787,mouth
788,mouth
789,mouth
790,mouth
791,mouth
792,mouth
793,mouth
794,mouth
795,mouth
796,mouth
797,mouth
798,mouth
799,mouth
800,mouth
801,mouth
802,mouth
803,mouth
804,mouth
805,mouth
806,mouth
807,mouth
808,mouth
809,mouth
810,mouth
811,mouth
812,mouth
813,mouth
814,mouth
815,mouth
816,mouth
817,mouth
818,mouth
819,mouth
820,mouth
821,mouth
822,mouth
823,mouth
824,mouth
825,mouth
826,mouth
827,mouth
828,mouth
829,mouth
830,mouth
831,mouth
832,mouth
833,mouth
834,mouth
835,mouth
836,mouth
837,mouth
838,mouth
839,mouth
840,mouth
841,mouth
842,mouth
843,mouth
844,mouth
845,mouth
846,mouth
847,mouth
848,mouth
849,mouth
850,mouth
851,mouth
852,mouth
853,mouth
854,mouth
855,mouth
856,mouth
857,mouth
858,mouth
859,mouth
860,mouth
861,mouth
862,mouth
863,mouth
864,mouth
865,mouth
866,mouth
867,mouth
868,mouth
869,mouth
870,mouth
871,mouth
872,mouth
873,mouth
874,mouth
875,mouth
876,mouth
877,mouth
878,mouth
879,mouth
880,mouth
881,mouth
882,mouth
883,mouth
884,mouth
885,mouth
886,mouth
887,mouth
888,mouth
889,mouth
890,mouth
891,mouth
